,pop_evol_ratio,kcal_total_capita_day,proteins_total_capita_day,proteins_animal_ratio,F1,F2,F3,F4
Afrique,0.5673380485871252,-1.0841139662079413,-1.1199965714503282,-1.2451844624320165,-2.0645647596543486,-0.016344577818266343,0.19012917026619158,0.05664208000749271
Émirats arabes unis,9.24517823896376,0.9845751135561122,1.1720285219407056,-0.1794423008282088,-1.7099347594585004,9.092587315586005,-1.4895782067824594,-0.17519992217727642
Occident,-0.533187498390365,1.2785214554966844,1.4781912276126894,1.089695685672785,2.2859129329132557,0.2103478229318046,0.07756396934843901,0.12542607606399359
Moyen Orient,0.32472527933456813,0.7870773900405785,0.4958179169023217,-0.40672759723109925,0.40678491534679107,0.6796885240982173,0.7120538043067328,-0.04158115739782503
Autre,-0.369855561971004,-0.05702957526898829,-0.03900669578350028,0.48796868949666133,0.3141415630630966,-0.3956749697912568,-0.34394671913673697,-0.07834235414717322
